travelCode,userCode,from,place,flightType,Fprice,agency,name,days,price,total,FHtotal
0,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,FlyingDrops,Hotel A,4,313.02,1252.08,2686.46
2,0,Aracaju (SE),Salvador (BH),firstClass,1684.05,CloudFy,Hotel K,2,263.41,526.82,2210.87
7,0,Aracaju (SE),Salvador (BH),economic,964.83,CloudFy,Hotel K,3,263.41,790.23,1755.06
11,0,Brasilia (DF),Salvador (BH),premium,1268.97,Rainbow,Hotel K,4,263.41,1053.64,2322.61
13,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,FlyingDrops,Hotel A,1,313.02,313.02,1747.4
15,0,Recife (PE),Natal (RN),premium,474.6,CloudFy,Hotel BD,2,242.88,485.76,960.36
22,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,Rainbow,Hotel Z,2,208.04,416.08,1630.9
29,0,Aracaju (SE),Recife (PE),economic,604.14,CloudFy,Hotel AU,4,312.83,1251.32,1855.46
32,0,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,CloudFy,Hotel AF,2,139.1,278.2,1171.85
33,0,Brasilia (DF),Salvador (BH),premium,1346.6,CloudFy,Hotel K,4,263.41,1053.64,2400.24
34,0,Aracaju (SE),Sao Paulo (SP),premium,630.34,CloudFy,Hotel AF,3,139.1,417.3,1047.64
38,0,Brasilia (DF),Natal (RN),firstClass,1433.35,FlyingDrops,Hotel BD,2,242.88,485.76,1919.11
39,0,Brasilia (DF),Salvador (BH),economic,958.15,CloudFy,Hotel K,1,263.41,263.41,1221.56
42,0,Recife (PE),Campo Grande (MS),premium,832.77,Rainbow,Hotel BW,3,60.39,181.17,1013.94
43,0,Recife (PE),Salvador (BH),firstClass,1484.94,CloudFy,Hotel K,4,263.41,1053.64,2538.58
45,0,Recife (PE),Natal (RN),premium,474.6,CloudFy,Hotel BD,1,242.88,242.88,717.48
51,0,Recife (PE),Salvador (BH),premium,1242.65,CloudFy,Hotel K,1,263.41,263.41,1506.06
53,0,Brasilia (DF),Campo Grande (MS),premium,831.7,CloudFy,Hotel BW,2,60.39,120.78,952.48
54,0,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,CloudFy,Hotel AF,3,139.1,417.3,1147.73
55,0,Recife (PE),Florianopolis (SC),firstClass,1371.83,Rainbow,Hotel A,2,313.02,626.04,1997.87
57,0,Recife (PE),Aracaju (SE),premium,932.84,CloudFy,Hotel Z,4,208.04,832.16,1765
60,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,Rainbow,Hotel Z,4,208.04,832.16,2046.98
65,0,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,CloudFy,Hotel CB,1,165.99,165.99,883.03
73,0,Aracaju (SE),Brasilia (DF),firstClass,898.04,FlyingDrops,Hotel BP,4,247.62,990.48,1888.52
81,0,Brasilia (DF),Natal (RN),economic,726.19,Rainbow,Hotel BD,4,242.88,971.52,1697.71
86,0,Aracaju (SE),Sao Paulo (SP),premium,588.14,Rainbow,Hotel AF,3,139.1,417.3,1005.44
87,0,Brasilia (DF),Recife (PE),firstClass,804.24,CloudFy,Hotel AU,1,312.83,312.83,1117.07
90,1,Aracaju (SE),Sao Paulo (SP),premium,630.34,CloudFy,Hotel AF,1,139.1,139.1,769.44
92,1,Recife (PE),Brasilia (DF),premium,638.63,Rainbow,Hotel BP,1,247.62,247.62,886.25
100,2,Brasilia (DF),Rio de Janeiro (RJ),economic,344.26,CloudFy,Hotel CB,4,165.99,663.96,1008.22
101,2,Aracaju (SE),Campo Grande (MS),economic,743.54,Rainbow,Hotel BW,3,60.39,181.17,924.71
105,2,Brasilia (DF),Aracaju (SE),economic,654.88,CloudFy,Hotel Z,4,208.04,832.16,1487.04
108,2,Brasilia (DF),Recife (PE),firstClass,804.24,CloudFy,Hotel AU,3,312.83,938.49,1742.73
109,2,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,CloudFy,Hotel BW,2,60.39,120.78,1510.15
110,2,Recife (PE),Salvador (BH),premium,1242.65,CloudFy,Hotel K,1,263.41,263.41,1506.06
112,2,Brasilia (DF),Sao Paulo (SP),premium,698.1,CloudFy,Hotel AF,4,139.1,556.4,1254.5
116,2,Aracaju (SE),Campo Grande (MS),economic,743.54,Rainbow,Hotel BW,4,60.39,241.56,985.1
117,2,Aracaju (SE),Recife (PE),economic,602.49,Rainbow,Hotel AU,2,312.83,625.66,1228.15
119,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,Rainbow,Hotel K,2,263.41,526.82,2250.53
122,2,Aracaju (SE),Florianopolis (SC),premium,1174.97,CloudFy,Hotel A,4,313.02,1252.08,2427.05
124,2,Recife (PE),Aracaju (SE),firstClass,1181.19,Rainbow,Hotel Z,3,208.04,624.12,1805.31
125,2,Recife (PE),Campo Grande (MS),premium,793.15,CloudFy,Hotel BW,2,60.39,120.78,913.93
135,2,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,CloudFy,Hotel CB,1,165.99,165.99,883.03
137,2,Recife (PE),Florianopolis (SC),firstClass,1371.83,Rainbow,Hotel A,3,313.02,939.06,2310.89
