travelCode,userCode,name,place,days,price,total
0,0,Hotel A,Florianopolis (SC),4,313.02,1252.08
2,0,Hotel K,Salvador (BH),2,263.41,526.82
7,0,Hotel K,Salvador (BH),3,263.41,790.23
11,0,Hotel K,Salvador (BH),4,263.41,1053.64
13,0,Hotel A,Florianopolis (SC),1,313.02,313.02
15,0,Hotel BD,Natal (RN),2,242.88,485.76
22,0,Hotel Z,Aracaju (SE),2,208.04,416.08
29,0,Hotel AU,Recife (PE),4,312.83,1251.32
32,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2
33,0,Hotel K,Salvador (BH),4,263.41,1053.64
34,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3
38,0,Hotel BD,Natal (RN),2,242.88,485.76
39,0,Hotel K,Salvador (BH),1,263.41,263.41
42,0,Hotel BW,Campo Grande (MS),3,60.39,181.17
43,0,Hotel K,Salvador (BH),4,263.41,1053.64
45,0,Hotel BD,Natal (RN),1,242.88,242.88
51,0,Hotel K,Salvador (BH),1,263.41,263.41
53,0,Hotel BW,Campo Grande (MS),2,60.39,120.78
54,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3
55,0,Hotel A,Florianopolis (SC),2,313.02,626.04
57,0,Hotel Z,Aracaju (SE),4,208.04,832.16
60,0,Hotel Z,Aracaju (SE),4,208.04,832.16
65,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
73,0,Hotel BP,Brasilia (DF),4,247.62,990.48
81,0,Hotel BD,Natal (RN),4,242.88,971.52
86,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3
87,0,Hotel AU,Recife (PE),1,312.83,312.83
90,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1
92,1,Hotel BP,Brasilia (DF),1,247.62,247.62
100,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
101,2,Hotel BW,Campo Grande (MS),3,60.39,181.17
105,2,Hotel Z,Aracaju (SE),4,208.04,832.16
108,2,Hotel AU,Recife (PE),3,312.83,938.49
109,2,Hotel BW,Campo Grande (MS),2,60.39,120.78
110,2,Hotel K,Salvador (BH),1,263.41,263.41
112,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4
116,2,Hotel BW,Campo Grande (MS),4,60.39,241.56
117,2,Hotel AU,Recife (PE),2,312.83,625.66
119,2,Hotel K,Salvador (BH),2,263.41,526.82
122,2,Hotel A,Florianopolis (SC),4,313.02,1252.08
124,2,Hotel Z,Aracaju (SE),3,208.04,624.12
125,2,Hotel BW,Campo Grande (MS),2,60.39,120.78
135,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
137,2,Hotel A,Florianopolis (SC),3,313.02,939.06
150,2,Hotel Z,Aracaju (SE),2,208.04,416.08
153,2,Hotel BW,Campo Grande (MS),4,60.39,241.56
156,2,Hotel BP,Brasilia (DF),2,247.62,495.24
160,2,Hotel BW,Campo Grande (MS),2,60.39,120.78
165,2,Hotel BD,Natal (RN),3,242.88,728.64
177,2,Hotel Z,Aracaju (SE),2,208.04,416.08
180,2,Hotel BW,Campo Grande (MS),3,60.39,181.17
187,2,Hotel Z,Aracaju (SE),3,208.04,624.12
188,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2
189,2,Hotel K,Salvador (BH),4,263.41,1053.64
192,2,Hotel A,Florianopolis (SC),4,313.02,1252.08
197,2,Hotel A,Florianopolis (SC),3,313.02,939.06
201,2,Hotel A,Florianopolis (SC),2,313.02,626.04
205,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
211,2,Hotel Z,Aracaju (SE),3,208.04,624.12
213,2,Hotel K,Salvador (BH),3,263.41,790.23
214,2,Hotel AU,Recife (PE),1,312.83,312.83
219,2,Hotel A,Florianopolis (SC),2,313.02,626.04
221,2,Hotel K,Salvador (BH),1,263.41,263.41
224,2,Hotel BP,Brasilia (DF),3,247.62,742.86
225,2,Hotel BD,Natal (RN),4,242.88,971.52
233,3,Hotel A,Florianopolis (SC),2,313.02,626.04
235,3,Hotel A,Florianopolis (SC),3,313.02,939.06
238,3,Hotel A,Florianopolis (SC),2,313.02,626.04
239,3,Hotel A,Florianopolis (SC),2,313.02,626.04
240,3,Hotel BP,Brasilia (DF),4,247.62,990.48
241,3,Hotel A,Florianopolis (SC),1,313.02,313.02
243,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
244,3,Hotel AU,Recife (PE),4,312.83,1251.32
246,3,Hotel AU,Recife (PE),2,312.83,625.66
248,3,Hotel BW,Campo Grande (MS),2,60.39,120.78
255,3,Hotel A,Florianopolis (SC),1,313.02,313.02
259,3,Hotel BD,Natal (RN),2,242.88,485.76
263,3,Hotel BW,Campo Grande (MS),3,60.39,181.17
269,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
275,3,Hotel BD,Natal (RN),2,242.88,485.76
279,3,Hotel BD,Natal (RN),1,242.88,242.88
283,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1
287,3,Hotel AU,Recife (PE),1,312.83,312.83
290,3,Hotel BW,Campo Grande (MS),1,60.39,60.39
291,3,Hotel K,Salvador (BH),1,263.41,263.41
295,3,Hotel BD,Natal (RN),4,242.88,971.52
296,3,Hotel AU,Recife (PE),3,312.83,938.49
299,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3
300,3,Hotel K,Salvador (BH),3,263.41,790.23
303,3,Hotel BW,Campo Grande (MS),1,60.39,60.39
305,3,Hotel BD,Natal (RN),4,242.88,971.52
306,3,Hotel A,Florianopolis (SC),3,313.02,939.06
307,3,Hotel BD,Natal (RN),2,242.88,485.76
311,3,Hotel AF,Sao Paulo (SP),2,139.1,278.2
315,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
322,3,Hotel BD,Natal (RN),1,242.88,242.88
325,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
337,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
338,3,Hotel Z,Aracaju (SE),3,208.04,624.12
347,3,Hotel BP,Brasilia (DF),1,247.62,247.62
350,3,Hotel BD,Natal (RN),1,242.88,242.88
363,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1
369,3,Hotel AU,Recife (PE),3,312.83,938.49
373,3,Hotel BW,Campo Grande (MS),4,60.39,241.56
377,3,Hotel A,Florianopolis (SC),4,313.02,1252.08
382,3,Hotel K,Salvador (BH),2,263.41,526.82
383,3,Hotel A,Florianopolis (SC),2,313.02,626.04
385,3,Hotel BW,Campo Grande (MS),2,60.39,120.78
387,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3
